id	Rank	P-Value
uniprot.P11021	137	1.4225208880593266e-15
uniprot.P04626	138	1.2911970125405907e-15
uniprot.P25963	139	2.3290161657799145e-15
uniprot.Q9Y2U5	140	1.3703886659286277e-16
uniprot.O60674	141	2.2123450226995579e-16
uniprot.Q9Y6K9	142	4.180241584397427e-17
uniprot.P19438	143	1.8290034719872535e-16
uniprot.O43318	144	3.0226452876166613e-17
uniprot.Q13546	145	2.3226819958801484e-18
uniprot.P62987	146	2.030749111932535e-18
uniprot.P51617	147	1.6878114299151404e-18
uniprot.Q12933	148	2.1802097979090805e-18
uniprot.P21580	149	1.9713469591904852e-19
uniprot.Q99558	150	2.3210461574457995e-19
uniprot.O43353	151	1.351202477019702e-18
uniprot.Q7Z434	152	2.8239876049827953e-19
uniprot.Q15628	153	9.14519057898201e-20
uniprot.Q9UQC1	154	3.154160465107001e-19
uniprot.Q13233	155	3.750983954600449e-18
uniprot.P38646	156	4.434883013238052e-19
uniprot.P31689	157	2.785170266251991e-19
uniprot.Q9NYJ8	158	1.244966158138451e-19
uniprot.P41279	159	6.331786737621811e-20
uniprot.P04350	160	3.8190103305849996e-20
uniprot.P34931	161	6.642024762089662e-19
uniprot.Q92844	162	3.801889076680154e-20
uniprot.Q04206	163	1.768171213472154e-19
uniprot.P19838	164	1.2667316872225015e-19
uniprot.Q13489	165	1.5990391138329351e-19
uniprot.Q15750	166	4.0479848604660834e-20
uniprot.P63261	167	2.1967406016006717e-19
uniprot.Q13077	168	2.001389362968917e-19
uniprot.P20333	169	1.9186386782354978e-20
uniprot.Q13114	170	6.92575677284265e-21
uniprot.Q13490	171	2.6793680546636723e-21
uniprot.Q00610	172	1.251361199324216e-19
uniprot.Q00653	173	7.079095789396569e-20
uniprot.Q15653	174	1.1973190081486828e-20
uniprot.P32121	175	3.2604992219716456e-19
uniprot.O60260	176	2.976127724153082e-19
uniprot.P08670	177	5.042157370187564e-20
uniprot.Q9Y572	178	2.226024669001491e-20
uniprot.Q05639	179	2.2898345934595915e-20
uniprot.Q9NQC7	180	2.2343439422089105e-20
uniprot.P78527	181	1.1255365129576596e-20
uniprot.O00221	182	2.359232325259289e-20
uniprot.P27708	183	4.659788434690416e-21
uniprot.P61981	184	6.125566161399184e-21
uniprot.P0CG48	185	1.955223684457636e-20
uniprot.Q96EY1	186	4.47258148724622e-21
uniprot.Q71U36	187	6.596865697288204e-22
uniprot.Q3ZCQ8	188	7.832321576833912e-22
